ORG_LEVEL,CITY,AREA,DISTRICT,SAFETY
Other,chicago,area_3,24,67.63
Other,chicago,area_3,24,58.96
Other,chicago,area_3,24,61.69
Other,chicago,area_3,24,57.79
Other,chicago,area_3,24,62.94
Other,chicago,area_3,24,68.63
Other,chicago,area_3,24,65.03
Other,chicago,area_3,24,68.47
Other,chicago,area_3,24,62.51
Other,chicago,area_3,24,54.04
Other,chicago,area_3,24,61.43
Other,chicago,area_3,24,59.38
Other,chicago,area_3,24,62.74
Other,chicago,area_3,24,61.21
Other,chicago,area_3,24,70.26
Other,chicago,area_3,24,61.84
Other,chicago,area_3,24,59.75
Other,chicago,area_3,24,66.13
Other,chicago,area_3,24,66.87
Other,chicago,area_3,24,54.36
Other,chicago,area_3,24,54.66
Other,chicago,area_3,24,63.04
Other,chicago,area_3,24,56.4
Other,chicago,area_3,24,56.81
Other,chicago,area_3,24,65.44
Other,chicago,area_3,24,71.48
Other,chicago,area_3,24,67.3
Other,chicago,area_3,24,67.09
Other,chicago,area_3,24,66.64
Other,chicago,area_3,24,61.51
Other,chicago,area_3,24,63.69
Other,chicago,area_3,24,56.55
Other,chicago,area_3,24,69.89
Other,chicago,area_3,24,65.44
Other,chicago,area_3,24,56.11
Other,chicago,area_3,24,57.16
Other,chicago,area_3,24,57.38
Other,chicago,area_3,24,69.34
Other,chicago,area_3,24,54.01
Other,chicago,area_3,24,66.71
Other,chicago,area_3,24,68.95
Other,chicago,area_3,24,60.85
Other,chicago,area_3,24,63.59
Other,chicago,area_3,24,61.41
Other,chicago,area_3,24,64.88
Other,chicago,area_3,24,66.32
Other,chicago,area_3,24,66.62
Other,chicago,area_3,24,56.05
Other,chicago,area_3,24,66.82
Other,chicago,area_3,24,62.03
Other,chicago,area_3,24,63.2
Other,chicago,area_3,24,54.91
Other,chicago,area_3,24,58.58
Other,chicago,area_3,24,62.1
Other,chicago,area_3,24,59.11
Other,chicago,area_3,24,55.73
Other,chicago,area_3,24,60.32
Other,chicago,area_3,24,60.91
Other,chicago,area_3,24,59.1
Other,chicago,area_3,24,55.44
Other,chicago,area_3,24,55.35
Other,chicago,area_3,24,53.34
Other,chicago,area_3,24,57.62
Other,chicago,area_3,24,55.69
Other,chicago,area_3,24,55.13
Other,chicago,area_3,24,57.6
Other,chicago,area_3,24,54.32
Other,chicago,area_2,22,58.33
Other,chicago,area_2,22,56.58
Other,chicago,area_2,22,55.08
Other,chicago,area_2,22,56.67
Other,chicago,area_2,22,53.43
Other,chicago,area_2,22,50.45
Other,chicago,area_2,22,49.39
Other,chicago,area_2,22,60.45
Other,chicago,area_2,22,65.82
Other,chicago,area_2,22,54.24
Other,chicago,area_2,22,48.44
Other,chicago,area_2,22,55.06
Other,chicago,area_2,22,52.1
Other,chicago,area_2,22,51.26
Other,chicago,area_2,22,61.82
Other,chicago,area_2,22,56.17
Other,chicago,area_2,22,57.51
Other,chicago,area_2,22,65.24
Other,chicago,area_2,22,59.47
Other,chicago,area_2,22,60.74
Other,chicago,area_2,22,59.18
Other,chicago,area_2,22,53.39
Other,chicago,area_2,22,65.07
Other,chicago,area_2,22,57.91
Other,chicago,area_2,22,64.77
Other,chicago,area_2,22,55.46
Other,chicago,area_2,22,69.12
Other,chicago,area_2,22,69.7
Other,chicago,area_2,22,53.63
Other,chicago,area_2,22,55.46
Other,chicago,area_2,22,70.84
Other,chicago,area_2,22,57.53
Other,chicago,area_2,22,67.62
Other,chicago,area_2,22,62.47
Other,chicago,area_2,22,73.9
Other,chicago,area_2,22,57.48
Other,chicago,area_2,22,53.82
Other,chicago,area_2,22,58.08
Other,chicago,area_2,22,61.08
Other,chicago,area_2,22,63.98
Other,chicago,area_2,22,70.91
Other,chicago,area_2,22,70.16
Other,chicago,area_2,22,59.03
Other,chicago,area_2,22,57.73
Other,chicago,area_2,22,69.19
Other,chicago,area_2,22,49.1
Other,chicago,area_2,22,68.75
Other,chicago,area_2,22,58.47
Other,chicago,area_2,22,57.81
Other,chicago,area_2,22,57.35
Other,chicago,area_2,22,56.21
Other,chicago,area_2,22,70.42
Other,chicago,area_2,22,52.49
Other,chicago,area_2,22,66.27
Other,chicago,area_2,22,67.36
Other,chicago,area_2,22,64.98
Other,chicago,area_2,22,66.82
Other,chicago,area_2,22,58.21
Other,chicago,area_2,22,58.24
Other,chicago,area_2,22,61.54
Other,chicago,area_2,22,54.57
Other,chicago,area_2,22,62.41
Other,chicago,area_2,22,59.53
Other,chicago,area_2,22,60.98
Other,chicago,area_2,22,61.08
Other,chicago,area_2,22,69.84
Other,chicago,area_2,22,54.14
Other,chicago,area_2,22,62.07
Other,chicago,area_2,22,56.51
Other,chicago,area_2,22,60.91
Other,chicago,area_2,22,62.93
Other,chicago,area_2,22,48.77
Other,chicago,area_2,22,60.5
Other,chicago,area_2,22,59.71
Other,chicago,area_2,22,59.22
Other,chicago,area_2,22,55.24
Other,chicago,area_2,22,55.28
Other,chicago,area_2,22,50.75
Other,chicago,area_2,22,52.14
Other,chicago,area_2,22,60.51
Other,chicago,area_2,22,57.73
Other,chicago,area_2,22,69
Other,chicago,area_2,22,55.55
Other,chicago,area_2,22,61.34
Other,chicago,area_2,22,64.95
Other,chicago,area_2,22,67.11
Other,chicago,area_2,22,62.74
Other,chicago,area_2,22,62.84
Other,chicago,area_2,22,65.61
Other,chicago,area_2,22,57.1
Other,chicago,area_2,22,62.86
Other,chicago,area_2,22,63.34
Other,chicago,area_2,22,55.6
Other,chicago,area_2,22,65.99
Other,chicago,area_2,22,67.01
Other,chicago,area_2,22,64.69
Other,chicago,area_2,22,58.22
Other,chicago,area_2,22,62.89
Other,chicago,area_2,22,58.8
Other,chicago,area_2,22,52.19
Other,chicago,area_2,22,63.35
Other,chicago,area_2,22,60.28
Other,chicago,area_2,22,57.23
Other,chicago,area_2,22,64.09
Other,chicago,area_2,22,53.64
Other,chicago,area_2,22,57.45
Other,chicago,area_2,22,67.15
Other,chicago,area_2,22,61.22
Other,chicago,area_2,22,47.83
Other,chicago,area_2,22,65.24
Other,chicago,area_2,22,54.9
Other,chicago,area_2,22,55.01
Other,chicago,area_2,22,68.63
Other,chicago,area_2,22,54.93
Other,chicago,area_2,22,67.27
Other,chicago,area_2,22,62.86
Other,chicago,area_2,22,57.09
Other,chicago,area_2,22,62.81
Other,chicago,area_2,22,56.13
Other,chicago,area_2,22,66.59
Other,chicago,area_2,22,61.09
Other,chicago,area_2,22,53.67
Other,chicago,area_2,22,53.85
Other,chicago,area_2,22,58.1
Other,chicago,area_2,22,62.07
Other,chicago,area_2,22,46.41
Other,chicago,area_2,22,67.94
Other,chicago,area_2,22,55.81
Other,chicago,area_2,22,70.8
Other,chicago,area_2,22,56.9
Other,chicago,area_2,22,53.92
Other,chicago,area_2,22,58.87
Other,chicago,area_2,22,51.94
Other,chicago,area_2,22,54.77
Other,chicago,area_2,22,68.11
Other,chicago,area_2,22,51.98
Other,chicago,area_2,22,63.52
Other,chicago,area_2,22,61.86
Other,chicago,area_2,22,65.78
Other,chicago,area_2,22,56.09
Other,chicago,area_2,22,60.6
Other,chicago,area_2,22,56.85
Other,chicago,area_2,22,57.94
Other,chicago,area_2,22,52.03
Other,chicago,area_2,22,49.78
Other,chicago,area_2,22,67.02
Other,chicago,area_2,22,54.4
Other,chicago,area_2,22,53.34
Other,chicago,area_2,22,54.37
Other,chicago,area_2,22,63.72
Other,chicago,area_2,22,57.14
Other,chicago,area_2,22,62.84
Other,chicago,area_2,22,61.76
Other,chicago,area_2,22,57.76
Other,chicago,area_2,22,60.79
Other,chicago,area_2,22,59.43
Other,chicago,area_2,22,63.73
Other,chicago,area_2,22,59.72
Other,chicago,area_2,22,55.99
Other,chicago,area_2,22,53.61
Other,chicago,area_2,22,70.97
Other,chicago,area_2,22,65.02
Other,chicago,area_2,22,58.53
Other,chicago,area_2,22,69.32
Other,chicago,area_2,22,54.93
Other,chicago,area_2,22,67.69
Other,chicago,area_2,22,57.92
Other,chicago,area_2,22,53.53
Other,chicago,area_2,22,58.41
Other,chicago,area_2,22,55.93
Other,chicago,area_2,22,51.94
Other,chicago,area_2,22,60.24
Other,chicago,area_2,22,61.27
Other,chicago,area_2,22,55.31
Other,chicago,area_2,22,57.38
Other,chicago,area_2,22,56.1
Other,chicago,area_2,22,54.73
Other,chicago,area_2,22,70.04
Other,chicago,area_2,22,59.58
Other,chicago,area_2,22,61.04
Other,chicago,area_2,22,57.75
Other,chicago,area_2,22,51.78
Other,chicago,area_2,22,58.89
Other,chicago,area_2,22,58.58
Other,chicago,area_2,22,61.27
Other,chicago,area_2,22,57.07
Other,chicago,area_2,22,65.96
Other,chicago,area_2,22,70.47
Other,chicago,area_2,22,59.98
Other,chicago,area_2,22,70.19
Other,chicago,area_2,22,57.46
Other,chicago,area_2,22,54.25
Other,chicago,area_2,22,61.22
Other,chicago,area_2,22,68.52
Other,chicago,area_2,22,63.22
Other,chicago,area_2,22,60.11
Other,chicago,area_2,22,60.46
Other,chicago,area_2,22,65.56
Other,chicago,area_2,22,65.83
Other,chicago,area_2,22,59.62
Other,chicago,area_2,22,60.98
Other,chicago,area_2,22,71.18
Other,chicago,area_2,22,45.63
Other,chicago,area_2,22,56.52
Other,chicago,area_2,22,62.86
Other,chicago,area_2,22,62.65
Other,chicago,area_2,22,69.08
Other,chicago,area_2,22,53.91
Other,chicago,area_2,22,57.71
Other,chicago,area_2,22,60.56
Other,chicago,area_2,22,57.73
Other,chicago,area_2,22,58.03
Other,chicago,area_2,22,72.61
Other,chicago,area_2,22,63.11
Other,chicago,area_2,22,61.59
